"client_id";"contact_date";"contact_outcome"
24365;2008-06-21;success
24365;2008-08-10;failure
24365;2008-08-13;failure
24367;2008-05-31;other
24367;2008-07-06;success
24367;2008-07-08;other
24367;2008-08-06;failure
24369;2008-07-28;other
24369;2008-08-06;other
24396;2008-05-20;failure
24396;2008-05-27;failure
24403;2008-05-08;other
24403;2008-06-28;other
24403;2008-07-22;failure
24406;2008-06-20;failure
24408;2008-05-13;other
24412;2008-04-27;other
24412;2008-05-26;failure
24413;2008-05-05;failure
24416;2008-07-28;other
24416;2008-07-30;failure
24417;2008-08-05;failure
24422;2008-04-16;success
24422;2008-05-02;other
24422;2008-05-08;failure
24423;2008-04-29;success
24423;2008-05-30;failure
24423;2008-07-22;failure
24426;2008-08-05;failure
24427;2008-04-08;failure
24427;2008-05-13;failure
24430;2008-05-20;failure
24436;2008-05-13;failure
24436;2008-05-14;success
24436;2008-06-14;failure
24436;2008-08-06;success
24440;2008-04-22;failure
24440;2008-06-05;other
24450;2008-02-27;other
24450;2008-04-07;other
24450;2008-04-26;success
24450;2008-05-16;other
24451;2008-05-15;failure
24462;2008-07-09;failure
24470;2008-05-04;success
24470;2008-05-30;failure
24470;2008-07-17;failure
24474;2008-05-17;other
24474;2008-05-20;failure
24476;2008-07-09;failure
24487;2008-03-20;failure
24487;2008-03-29;success
24487;2008-06-16;failure
24490;2008-07-09;failure
24491;2008-05-20;failure
24493;2008-05-20;failure
24495;2008-06-25;failure
24503;2008-07-09;failure
24504;2008-05-20;other
24506;2008-03-15;other
24506;2008-04-05;failure
24506;2008-05-11;other
24506;2008-05-17;failure
24506;2008-05-30;other
24507;2008-04-25;other
24507;2008-05-02;failure
24507;2008-05-09;failure
24507;2008-05-27;success
24507;2008-06-12;success
24507;2008-07-10;failure
24507;2008-07-11;success
24507;2008-07-18;success
24507;2008-07-20;other
24507;2008-07-21;success
24509;2008-06-25;other
24511;2008-05-08;success
24511;2008-07-02;failure
24518;2008-03-27;other
24518;2008-05-30;failure
24521;2008-03-09;failure
24521;2008-05-06;failure
24529;2008-03-28;success
24529;2008-05-30;other
24532;2008-05-30;other
24532;2008-06-21;failure
24532;2008-07-14;failure
24536;2008-05-13;failure
24537;2008-06-25;failure
24546;2008-04-23;failure
24546;2008-06-05;failure
24546;2008-06-20;success
24554;2008-07-07;failure
24554;2008-08-13;failure
24555;2008-04-16;other
24555;2008-05-13;failure
24557;2008-03-24;other
24557;2008-03-27;other
24557;2008-03-27;other
24557;2008-04-08;failure
24557;2008-04-17;other
24557;2008-04-27;other
24557;2008-05-27;failure
24557;2008-06-01;success
24557;2008-06-01;success
24557;2008-06-10;other
24557;2008-06-15;failure
24557;2008-06-20;failure
24561;2008-05-28;failure
24567;2008-05-05;failure
24568;2008-05-07;success
24568;2008-07-08;failure
24571;2008-05-20;other
24571;2008-07-11;success
24571;2008-07-14;failure
24574;2008-05-11;other
24574;2008-05-19;failure
24574;2008-06-20;failure
24574;2008-07-29;failure
24575;2008-05-08;success
24579;2008-07-21;failure
24581;2008-05-14;success
24581;2008-07-01;other
24581;2008-07-14;failure
24582;2008-04-25;failure
24582;2008-05-15;failure
24582;2008-05-29;failure
24582;2008-06-07;other
24582;2008-06-15;success
24582;2008-07-03;failure
24582;2008-07-17;other
24584;2008-02-18;other
24584;2008-05-06;failure
24589;2008-03-23;other
24589;2008-06-19;failure
24590;2008-04-10;failure
24590;2008-04-18;other
24590;2008-05-21;failure
24591;2008-07-01;success
24591;2008-07-11;failure
24592;2008-05-06;failure
24593;2008-05-23;failure
24593;2008-05-29;failure
24596;2008-05-08;other
24596;2008-06-20;other
24597;2008-04-22;failure
24597;2008-04-29;failure
24597;2008-05-03;other
24597;2008-05-04;failure
24597;2008-05-04;success
24597;2008-05-06;failure
24597;2008-05-18;failure
24597;2008-05-21;success
24597;2008-05-24;success
24597;2008-05-31;other
24597;2008-06-02;success
24597;2008-06-03;other
24597;2008-06-07;other
24597;2008-06-08;other
24597;2008-06-15;other
24597;2008-06-26;other
24597;2008-06-29;failure
24597;2008-07-11;other
24606;2008-07-09;other
24607;2008-05-21;failure
24610;2008-05-03;failure
24610;2008-06-01;success
24610;2008-06-08;other
24610;2008-06-09;failure
24610;2008-06-14;success
24610;2008-07-09;success
24610;2008-07-21;other
24610;2008-07-30;success
24610;2008-07-31;failure
24611;2008-07-11;failure
24612;2008-03-15;other
24612;2008-05-15;failure
24617;2008-03-23;failure
24617;2008-05-08;failure
24619;2008-05-17;success
24619;2008-07-16;failure
24619;2008-08-08;failure
24623;2008-06-20;success
24624;2008-04-09;other
24624;2008-05-29;failure
24625;2008-05-05;success
24625;2008-05-06;other
24625;2008-05-09;success
24625;2008-05-19;failure
24625;2008-05-30;success
24625;2008-05-31;failure
24625;2008-06-03;other
24625;2008-06-03;other
24625;2008-06-07;other
24625;2008-06-15;success
24625;2008-06-21;other
24625;2008-06-22;other
24625;2008-06-23;success
24625;2008-07-03;success
24625;2008-07-04;failure
24625;2008-07-08;success
24625;2008-07-15;failure
24625;2008-07-19;other
24625;2008-07-27;success
24625;2008-07-30;failure
24625;2008-07-31;other
24627;2008-04-04;other
24627;2008-04-05;other
24627;2008-05-05;success
24627;2008-05-14;failure
24627;2008-05-22;failure
24627;2008-06-03;failure
24628;2008-07-21;failure
24630;2008-05-15;failure
24633;2008-04-27;success
24633;2008-05-30;failure
24634;2008-05-13;other
24634;2008-07-21;failure
24638;2008-06-19;failure
24639;2008-05-25;other
24639;2008-07-21;failure
24639;2008-07-23;failure
24644;2008-03-17;other
24644;2008-03-19;failure
24644;2008-04-09;failure
24644;2008-04-30;other
24644;2008-05-03;failure
24644;2008-05-27;other
24644;2008-06-01;other
24644;2008-06-12;other
24650;2008-05-20;other
24650;2008-05-29;failure
24650;2008-06-01;success
24650;2008-06-18;failure
24650;2008-06-25;success
24650;2008-06-25;success
24650;2008-06-27;other
24650;2008-07-02;other
24650;2008-07-12;other
24650;2008-07-28;success
24650;2008-07-31;failure
24659;2008-05-11;failure
24659;2008-06-13;other
24659;2008-06-13;other
24659;2008-07-05;other
24659;2008-07-28;success
24659;2008-07-29;failure
24663;2008-05-05;other
24663;2008-05-12;success
24663;2008-06-30;success
24663;2008-07-09;failure
24666;2008-07-08;failure
24666;2008-08-13;failure
24673;2008-05-01;success
24673;2008-06-10;success
24673;2008-07-21;failure
24676;2008-05-31;success
24676;2008-06-02;failure
24677;2008-05-29;failure
24685;2008-07-09;failure
24687;2008-05-05;failure
24692;2008-05-06;failure
24697;2008-03-12;failure
24697;2008-03-18;success
24697;2008-03-22;failure
24697;2008-03-23;failure
24697;2008-03-25;other
24697;2008-04-15;failure
24697;2008-05-15;failure
24698;2008-05-29;failure
24699;2008-05-10;failure
24699;2008-06-20;success
24699;2008-07-23;failure
24700;2008-03-19;failure
24700;2008-03-24;success
24700;2008-05-07;success
24700;2008-05-30;failure
24702;2008-03-05;failure
24702;2008-04-16;other
24702;2008-04-23;success
24702;2008-05-15;failure
24703;2008-03-29;failure
24703;2008-06-19;failure
24704;2008-05-24;other
24704;2008-06-08;failure
24704;2008-06-29;other
24704;2008-07-31;failure
24710;2008-06-28;other
24710;2008-07-14;failure
24715;2008-04-12;failure
24715;2008-06-02;failure
24719;2008-04-08;success
24719;2008-04-11;other
24719;2008-04-22;failure
24719;2008-05-27;other
24719;2008-06-20;other
24722;2008-05-26;failure
24724;2008-02-16;other
24724;2008-02-27;success
24724;2008-03-06;success
24724;2008-03-07;failure
24724;2008-03-15;failure
24724;2008-04-02;success
24724;2008-04-27;failure
24724;2008-05-02;other
24724;2008-05-15;other
24730;2008-07-23;failure
24738;2008-06-09;failure
24738;2008-08-10;failure
24738;2008-08-13;failure
24740;2008-05-20;failure
24753;2008-04-26;failure
24753;2008-05-07;success
24753;2008-07-04;other
24753;2008-07-14;failure
24754;2008-05-31;failure
24754;2008-07-11;failure
24757;2008-06-23;failure
24757;2008-07-31;failure
24759;2008-05-05;success
24759;2008-05-08;failure
24761;2008-06-03;other
24762;2008-05-21;other
24762;2008-05-24;other
24762;2008-06-02;success
24762;2008-06-03;failure
24762;2008-07-16;failure
24766;2008-05-26;failure
24777;2008-08-05;failure
24780;2008-04-05;failure
24780;2008-06-05;failure
24787;2008-05-02;failure
24787;2008-06-06;success
24788;2008-03-10;success
24788;2008-04-29;other
24788;2008-05-30;failure
24796;2008-06-30;other
24796;2008-07-02;failure
24796;2008-07-06;other
24796;2008-07-12;other
24796;2008-07-28;failure
24796;2008-08-08;failure
24802;2008-04-12;failure
24802;2008-05-27;other
24802;2008-05-30;other
24803;2008-09-05;failure
24803;2008-09-06;other
24803;2008-10-23;success
24805;2008-05-09;other
24826;2008-03-01;success
24826;2008-05-14;success
24826;2008-05-23;other
24827;2008-05-23;other
24827;2008-08-14;other
24835;2008-06-04;other
24838;2008-04-08;success
24838;2008-05-20;failure
24839;2008-08-11;success
24839;2008-10-21;success
24844;2008-03-17;success
24844;2008-03-31;failure
24844;2008-05-04;success
24844;2008-05-12;success
24844;2008-05-14;other
24844;2008-05-23;failure
24845;2008-03-20;other
24845;2008-05-20;failure
24851;2008-05-20;failure
24852;2008-04-27;other
24852;2008-05-19;failure
24859;2008-03-23;failure
24859;2008-06-10;failure
24859;2008-06-16;failure
24860;2008-07-10;failure
24864;2008-05-07;failure
24865;2008-06-01;other
24865;2008-06-02;success
24865;2008-06-06;success
24865;2008-07-19;failure
24865;2008-07-31;failure
24867;2008-05-08;success
24867;2008-06-06;failure
24868;2008-03-11;success
24868;2008-03-26;success
24868;2008-04-22;other
24868;2008-05-04;success
24868;2008-05-14;other
24868;2008-05-19;success
24868;2008-05-20;failure
24870;2008-07-03;failure
24872;2008-05-20;failure
24873;2008-06-25;failure
24873;2008-06-28;success
24873;2008-07-20;failure
24873;2008-08-14;failure
24877;2008-04-02;success
24877;2008-05-14;failure
24877;2008-05-16;failure
24879;2008-07-07;failure
24879;2008-07-14;failure
24885;2008-05-20;failure
24898;2008-03-31;other
24898;2008-05-12;other
24898;2008-05-30;failure
24899;2008-05-07;failure
24901;2008-04-29;success
24901;2008-05-25;success
24901;2008-07-15;failure
24902;2008-06-17;success
24902;2008-06-21;other
24902;2008-07-11;failure
24902;2008-07-31;failure
24903;2008-05-16;success
24905;2008-03-26;other
24905;2008-05-29;other
24910;2008-03-20;success
24910;2008-06-04;failure
24912;2008-03-17;other
24912;2008-04-24;failure
24912;2008-05-30;failure
24916;2008-05-14;failure
24918;2008-07-21;other
24918;2008-07-29;failure
24919;2008-02-29;failure
24919;2008-05-29;failure
24920;2008-04-18;other
24920;2008-04-24;success
24920;2008-06-22;success
24920;2008-07-06;success
24920;2008-07-14;failure
24923;2008-05-20;other
24924;2008-06-03;failure
24928;2008-05-30;success
24928;2008-06-14;other
24928;2008-06-16;success
24928;2008-06-26;other
24928;2008-07-22;other
24928;2008-08-14;failure
24937;2008-05-18;failure
24937;2008-06-07;failure
24937;2008-07-01;other
24937;2008-07-04;failure
24937;2008-07-12;other
24937;2008-07-14;other
24941;2008-05-07;failure
24941;2008-07-31;failure
24942;2008-03-08;failure
24942;2008-03-23;success
24942;2008-05-29;failure
24944;2008-05-12;success
24944;2008-05-29;other
24944;2008-07-21;other
24945;2008-07-04;other
24948;2008-05-10;failure
24948;2008-06-13;success
24948;2008-06-20;other
24948;2008-06-21;other
24948;2008-07-11;other
24948;2008-07-17;failure
24949;2008-05-12;success
24949;2008-06-24;other
24949;2008-07-31;other
24955;2008-03-13;failure
24955;2008-05-27;failure
24956;2008-05-08;other
24956;2008-05-23;failure
24956;2008-07-14;failure
24960;2008-05-14;failure
24961;2008-04-06;success
24961;2008-05-11;other
24961;2008-05-15;failure
24962;2008-03-15;other
24962;2008-03-27;failure
24962;2008-04-01;success
24962;2008-04-03;other
24962;2008-04-13;success
24962;2008-05-12;failure
24970;2008-04-04;success
24970;2008-05-21;failure
24971;2008-03-22;success
24971;2008-05-07;other
24971;2008-05-21;failure
24983;2008-05-20;failure
24986;2008-03-24;success
24986;2008-05-30;failure
24987;2008-03-20;failure
24987;2008-05-27;failure
24988;2008-06-25;other
24988;2008-07-15;failure
24993;2008-03-25;other
24993;2008-06-17;failure
25000;2008-05-06;failure
25003;2008-06-06;failure
25005;2008-03-08;other
25005;2008-06-03;failure
25014;2008-05-20;failure
25015;2008-05-14;failure
25016;2008-05-12;other
25016;2008-06-03;other
25023;2008-04-05;other
25023;2008-05-23;failure
25025;2008-07-10;failure
25026;2008-04-03;failure
25026;2008-04-05;failure
25026;2008-05-12;other
25026;2008-05-21;other
25030;2008-05-27;failure
25031;2008-07-01;other
25031;2008-07-28;other
25035;2008-05-19;success
25035;2008-06-07;failure
25035;2008-07-28;other
25037;2008-03-17;other
25037;2008-06-06;failure
25045;2008-08-01;failure
25045;2008-08-08;failure
25048;2008-07-23;failure
25048;2008-08-06;failure
25051;2008-06-16;success
25051;2008-07-31;success
25059;2008-05-20;other
25059;2008-07-31;failure
25061;2008-06-17;failure
25069;2008-05-21;failure
25072;2008-05-27;failure
25072;2008-06-09;failure
25073;2008-02-19;success
25073;2008-02-20;other
25073;2008-02-23;success
25073;2008-03-31;failure
25073;2008-05-19;failure
25074;2008-06-12;failure
25079;2008-06-19;other
25079;2008-07-28;failure
25086;2008-03-06;failure
25086;2008-03-08;success
25086;2008-04-01;failure
25086;2008-04-06;failure
25086;2008-04-14;failure
25086;2008-05-16;failure
25086;2008-05-27;success
25086;2008-05-30;failure
25096;2008-05-31;other
25096;2008-07-17;failure
25097;2008-07-30;other
25097;2008-07-31;failure
25113;2008-07-18;success
25113;2008-08-08;failure
25119;2008-07-17;success
25121;2008-05-14;failure
25123;2008-06-26;other
25123;2008-07-17;failure
25126;2008-04-30;success
25126;2008-05-06;failure
25126;2008-05-16;other
25126;2008-06-03;failure
25126;2008-06-13;success
25126;2008-06-17;other
25127;2008-06-15;other
25127;2008-07-31;failure
25130;2008-02-27;other
25130;2008-04-30;failure
25130;2008-05-23;failure
25133;2008-07-17;failure
25134;2008-04-27;success
25134;2008-05-01;failure
25134;2008-05-23;other
25134;2008-05-25;success
25134;2008-06-11;failure
25134;2008-06-19;failure
25134;2008-07-14;other
25136;2008-05-19;other
25137;2008-07-14;other
25137;2008-07-31;failure
25147;2008-07-17;failure
25149;2008-07-17;failure
25152;2008-07-25;failure
25154;2008-03-12;success
25154;2008-03-25;other
25154;2008-05-15;failure
25158;2008-07-23;other
25158;2008-07-31;failure
25166;2008-02-21;other
25166;2008-05-20;failure
25176;2008-07-18;failure
25178;2008-05-07;failure
25182;2008-04-12;success
25182;2008-06-06;failure
25185;2008-05-28;other
25188;2008-06-19;failure
25193;2008-05-04;other
25193;2008-07-18;failure
25200;2008-07-17;other
25200;2008-08-06;failure
25204;2008-03-16;other
25204;2008-05-15;failure
25206;2008-04-09;other
25206;2008-07-07;other
25208;2008-06-30;success
25208;2008-07-19;other
25208;2008-08-09;other
25208;2008-08-14;failure
25214;2008-05-20;failure
25221;2008-07-25;other
25225;2008-05-16;failure
25225;2008-05-17;success
25225;2008-05-30;failure
25225;2008-07-25;failure
25225;2008-07-28;failure
25229;2008-03-28;failure
25229;2008-04-02;success
25229;2008-04-04;success
25229;2008-04-10;other
25229;2008-04-14;other
25229;2008-04-15;failure
25229;2008-04-17;other
25229;2008-04-25;success
25229;2008-04-28;failure
25229;2008-05-22;success
25229;2008-06-02;success
25229;2008-06-08;failure
25229;2008-06-13;other
25229;2008-06-20;failure
25230;2008-05-14;failure
25231;2008-06-17;failure
25234;2008-02-16;success
25234;2008-05-06;failure
25235;2008-06-03;other
25236;2008-05-06;success
25236;2008-05-19;success
25236;2008-07-31;other
25239;2008-04-17;success
25239;2008-05-09;failure
25240;2008-05-04;success
25240;2008-06-15;failure
25240;2008-06-22;other
25240;2008-07-31;failure
25242;2008-04-15;other
25242;2008-06-20;other
25246;2008-05-25;failure
25246;2008-07-30;failure
25251;2008-04-09;success
25251;2008-05-27;failure
25254;2008-05-07;failure
25254;2008-05-20;failure
25254;2008-07-31;other
25257;2008-02-15;success
25257;2008-03-20;failure
25257;2008-05-14;failure
25261;2008-04-12;other
25261;2008-04-24;success
25261;2008-05-01;success
25261;2008-05-21;failure
25261;2008-05-23;failure
25261;2008-06-12;success
25261;2008-07-07;failure
25267;2008-06-19;other
25274;2008-06-02;failure
25275;2008-05-29;failure
25275;2008-07-16;success
25275;2008-07-30;failure
25277;2008-07-09;other
25279;2008-03-15;failure
25279;2008-03-24;other
25279;2008-04-03;success
25279;2008-04-03;other
25279;2008-04-07;success
25279;2008-04-17;success
25279;2008-05-03;failure
25279;2008-05-09;other
25279;2008-05-25;success
25279;2008-05-25;success
25279;2008-06-07;failure
25279;2008-06-09;failure
25280;2008-05-02;other
25280;2008-05-14;other
25280;2008-05-23;failure
25283;2008-05-07;success
25283;2008-06-05;success
25283;2008-06-18;success
25283;2008-06-29;failure
25283;2008-07-08;success
25283;2008-07-26;other
25283;2008-07-28;success
25285;2008-04-02;other
25285;2008-06-02;failure
25286;2008-07-10;failure
25289;2008-05-13;failure
25293;2008-04-17;other
25293;2008-05-08;success
25293;2008-05-16;failure
25296;2008-02-25;failure
25296;2008-05-21;other
25298;2008-05-12;other
25298;2008-07-02;success
25298;2008-07-16;other
25298;2008-07-31;success
25305;2008-05-20;failure
25306;2008-05-28;failure
25309;2008-03-11;success
25309;2008-03-26;success
25309;2008-04-02;success
25309;2008-05-21;other
25309;2008-06-02;failure
25309;2008-06-05;failure
25315;2008-05-02;failure
25315;2008-07-31;failure
25322;2008-06-03;success
25322;2008-07-31;other
25328;2008-05-20;failure
25333;2008-04-22;failure
25333;2008-06-03;failure
25333;2008-07-08;other
25333;2008-07-15;other
25334;2008-07-10;failure
25337;2008-03-20;failure
25337;2008-03-23;other
25337;2008-04-10;success
25337;2008-05-23;failure
25338;2008-02-25;failure
25338;2008-05-08;failure
25345;2008-05-20;other
25345;2008-05-23;other
25345;2008-05-30;other
25345;2008-06-04;other
25345;2008-06-10;success
25345;2008-07-10;other
25345;2008-07-28;other
25345;2008-07-29;other
25348;2008-05-13;failure
25351;2008-03-28;other
25351;2008-03-28;other
25351;2008-04-05;failure
25351;2008-04-18;other
25351;2008-04-28;other
25351;2008-05-03;success
25351;2008-05-16;other
25351;2008-05-23;other
25351;2008-05-26;failure
25351;2008-06-18;failure
25351;2008-06-19;other
25352;2008-11-10;failure
25354;2008-05-11;success
25354;2008-05-17;success
25354;2008-05-22;success
25354;2008-05-27;failure
25354;2008-06-03;success
25354;2008-06-05;success
25354;2008-06-08;other
25354;2008-06-12;other
25354;2008-07-05;other
25354;2008-07-05;success
25354;2008-07-07;other
25354;2008-07-14;other
25354;2008-07-16;failure
25354;2008-07-22;failure
25354;2008-07-31;failure
25358;2008-04-11;failure
25358;2008-05-21;failure
25360;2008-05-25;other
25360;2008-05-26;failure
25365;2008-07-17;failure
25366;2008-05-28;success
25366;2008-07-22;failure
25368;2008-05-03;other
25368;2008-05-05;failure
25368;2008-05-25;success
25368;2008-06-08;failure
25368;2008-07-15;failure
25368;2008-07-19;success
25368;2008-07-24;failure
25370;2008-06-02;other
25370;2008-07-01;success
25370;2008-07-19;other
25370;2008-07-25;failure
25370;2008-07-28;failure
25374;2008-05-03;other
25374;2008-06-10;other
25374;2008-06-17;other
25378;2008-06-22;success
25378;2008-06-26;other
25378;2008-07-12;other
25378;2008-07-21;failure
25379;2008-07-03;success
25379;2008-07-04;failure
25381;2008-05-30;failure
25383;2008-05-10;failure
25383;2008-05-19;success
25383;2008-07-31;failure
25384;2008-05-28;other
25384;2008-06-18;other
25384;2008-07-14;failure
25385;2008-06-28;other
25385;2008-07-29;failure
25388;2008-03-29;failure
25388;2008-04-04;other
25388;2008-04-05;other
25388;2008-04-20;failure
25388;2008-06-27;failure
25393;2008-07-28;failure
25393;2008-08-14;failure
25394;2008-04-22;success
25394;2008-05-14;failure
25399;2008-03-25;other
25399;2008-04-23;success
25399;2008-06-05;other
25402;2008-07-18;failure
25405;2008-03-20;success
25405;2008-03-21;other
25405;2008-05-03;other
25405;2008-05-08;other
25405;2008-05-15;failure
25405;2008-05-16;failure
25409;2008-06-09;failure
25410;2008-05-13;other
25410;2008-05-27;failure
25411;2008-06-27;failure
25412;2008-07-18;other
25415;2008-05-29;success
25415;2008-06-08;other
25415;2008-07-18;failure
25416;2008-06-14;other
25416;2008-08-08;failure
25421;2008-04-24;failure
25421;2008-04-28;other
25421;2008-04-28;failure
25421;2008-05-01;other
25421;2008-05-05;success
25421;2008-05-07;failure
25421;2008-05-23;other
25421;2008-05-30;other
25421;2008-06-02;success
25421;2008-06-04;other
25421;2008-06-09;failure
25421;2008-06-15;other
25421;2008-06-18;other
25421;2008-06-19;failure
25423;2008-05-09;failure
25424;2008-07-18;other
25425;2008-05-10;other
25425;2008-07-31;failure
25435;2008-04-27;success
25435;2008-05-15;other
25438;2008-07-03;failure
25438;2008-07-31;other
25443;2008-05-16;failure
25449;2008-04-30;other
25449;2008-05-03;failure
25449;2008-05-08;other
25449;2008-05-24;failure
25449;2008-06-07;success
25449;2008-06-15;other
25449;2008-06-22;success
25449;2008-07-11;success
25449;2008-07-17;failure
25449;2008-07-22;success
25449;2008-07-23;failure
25455;2008-03-25;success
25455;2008-04-18;failure
25455;2008-05-11;success
25455;2008-05-12;failure
25462;2008-02-26;other
25462;2008-04-17;other
25462;2008-05-19;failure
25463;2008-04-23;failure
25463;2008-06-06;failure
25467;2008-05-21;failure
25478;2008-03-11;success
25478;2008-03-19;success
25478;2008-04-22;other
25478;2008-06-01;other
25478;2008-06-03;failure
25479;2008-03-25;other
25479;2008-05-28;success
25480;2008-06-05;success
25480;2008-07-31;failure
25481;2008-06-15;failure
25481;2008-07-31;other
25483;2008-05-21;failure
25486;2008-06-02;failure
25487;2008-04-18;success
25487;2008-05-23;failure
25490;2008-04-29;other
25490;2008-05-21;failure
25491;2008-04-02;failure
25491;2008-05-15;failure
25492;2008-05-21;failure
25495;2008-04-28;other
25495;2008-05-04;success
25495;2008-05-26;failure
25503;2008-05-10;other
25503;2008-05-21;failure
25504;2008-04-08;other
25504;2008-04-21;success
25504;2008-06-02;failure
25505;2008-03-19;other
25505;2008-05-11;success
25505;2008-05-21;failure
25506;2008-04-08;other
25506;2008-06-04;other
25511;2008-06-26;failure
25511;2008-07-12;failure
25511;2008-07-31;failure
25514;2008-06-02;failure
25520;2008-05-23;other
25526;2008-11-14;success
25531;2008-06-03;failure
25531;2008-08-12;failure
25535;2008-04-07;failure
25535;2008-05-30;other
25535;2008-06-18;failure
25536;2008-05-23;failure
25537;2008-07-29;other
25537;2008-07-31;failure
25538;2008-07-28;other
25538;2008-08-12;success
25541;2008-05-12;failure
25542;2008-03-20;other
25542;2008-04-16;success
25542;2008-05-20;other
25543;2008-05-13;success
25543;2008-07-22;failure
25545;2008-07-22;failure
25550;2008-04-26;other
25550;2008-06-29;other
25550;2008-06-29;other
25550;2008-07-09;other
25553;2008-05-27;success
25553;2008-07-09;failure
25556;2008-06-04;success
25557;2008-04-14;failure
25557;2008-04-20;other
25557;2008-05-03;other
25557;2008-05-25;failure
25557;2008-05-28;success
25557;2008-05-30;other
25557;2008-06-09;failure
25557;2008-06-18;other
25568;2008-07-31;other
25569;2008-06-23;other
25569;2008-06-25;failure
25569;2008-07-26;failure
25569;2008-08-18;failure
25570;2008-06-16;failure
25570;2008-06-22;failure
25570;2008-06-27;failure
25570;2008-08-17;success
25570;2008-08-18;failure
25571;2008-06-25;success
25571;2008-08-14;other
25574;2008-05-22;other
25574;2008-07-17;success
25574;2008-08-10;other
25574;2008-08-19;failure
25579;2008-06-02;other
25580;2008-04-22;other
25580;2008-05-30;success
25580;2008-06-17;failure
25581;2008-05-28;other
25582;2008-03-02;other
25582;2008-05-21;failure
25588;2008-11-09;failure
25595;2008-05-08;other
25595;2008-06-02;failure
25596;2008-05-30;other
25596;2008-06-03;failure
25605;2008-05-02;failure
25605;2008-05-23;failure
25609;2008-05-23;other
25618;2008-07-17;failure
25619;2008-06-29;failure
25619;2008-08-04;other
25619;2008-08-20;failure
25621;2008-02-25;other
25621;2008-03-04;failure
25621;2008-03-11;failure
25621;2008-03-16;failure
25621;2008-04-20;other
25621;2008-05-14;failure
25624;2008-05-23;failure
25628;2008-05-26;other
